category,name,price,description
Tully's Favorites,Asian Tender Dinner,17.19,"Tully’s Tenders dipped in house sweet ‘n spicy Asian sauce. Served with fries, Tully’s Ranch and coleslaw."
Tully's Favorites,Buffalo Tender Dinner,17.19,"Tully’s Tenders dipped in house Buffalo sauce. Served with fries, Bleu Cheese and coleslaw."
Sandwich Platters,Bacon Chicken Teriyaki Sandwich,14.99,"An old favorite! Grilled chicken breast topped with teriyaki sauce, American cheese, mushrooms and bacon."
Sandwich Platters,Cajun Cheddar Chicken Sandwich,14.49,"Grilled chicken breast seasoned with Cajun spices and topped with cheddar cheese. Served on a toasted roll with lettuce, tomato and Cajun mayo."
Sandwich Platters,Blackened Mahi Sandwich,15.99,"Grilled to perfection with diced pickles, lettuce and Cajun mayo."
Sandwich Platters,Fish Fry Haddock Sandwich,14.29,"Lightly hand breaded haddock, served with lettuce and a side of tartar sauce."
Sandwich Platters,Cheese Steak,14.69,"Sliced sirloin topped with onions, peppers, mushrooms and melted American cheese."
Sandwich Platters,Buffalo Chicken,13.99,"Hand battered chicken breast dipped in Buffalo sauce, topped with Bleu Cheese."
Sandwich Platters,Ranch Chicken,14.59,"Chicken breast hand battered and lightly fried. Topped with American cheese, lettuce, tomato, bacon and Tully’s Ranch dressing."
Burgers,Fiery Jalapeño Cheddar Burger,14.39,Seasoned with our fiery habañero roasted garlic seasoning and jalapeños right in the burger. Topped with cheddar cheese and Cajun mayo.
Burgers,American Classic Burger,14.49,"Our fresh steak burger topped with American cheese and freshly sliced white onion with diced pickles, ketchup and mustard. A must try!"
Burgers,Basic Burger,13.99,Lettuce and tomato.
Burgers,Knife & Fork Cheesy Philly Burger,15.99,"Topped with diced onions, peppers, American cheese and our homemade mac 'n cheese sauce poured all over the bun."
Burgers,Cheeseburger,14.59,"Lettuce, tomato and choice of American, cheddar, or Swiss cheese."
Burgers,Smokehouse Burger,14.29,"Bacon, cheddar cheese, BBQ sauce and our Cajun mayo topped with fresh, fried onion straws."
Burgers,Bacon Cheeseburger,14.99,"Five strips of bacon, American cheese, lettuce, tomato and mayo."
Burgers,Mountain Melt Burger,15.99,"Our huge burger packed between our Ultimate Grilled Cheese with lettuce, tomato and mayo."
Burgers,Mushroom Swiss Burger,14.29,Sautéed mushrooms and melted Swiss cheese.
Burgers,Turkey Burger,13.99,Juicy ground seasoned turkey grilled with lettuce and tomato.
Pastas,Baked Ziti,15.99,"A generous portion of ziti tossed in our own marinara sauce with Romano and mozzarella cheese, then baked."
Pastas,Buffalo Mac & Cheese,18.99,Tender chicken sautéed in buffalo sauce then tossed with ziti pasta and our homemade cheese sauce. Topped with butter crumb topping and melted jack‐cheddar cheese.
Pastas,Chicken & Broccoli Alfredo,17.99,Tender chicken and broccoli tossed with fettuccine Alfredo.
Pastas,Cheesy Chicken & Broccoli Bake,16.99,"Homemade cheddar cheese sauce tossed with tender chicken, ziti and broccoli. Topped with a buttery crumb topping."
Pastas,Cajun Chicken Pasta,18.99,"Fresh chicken, mushrooms and ziti tossed in a spicy Alfredo sauce."
Pastas,Chicken Parmigiana,16.49,"Chicken breast breaded Italian style, topped with our own marinara sauce, Romano and mozzarella with a side of fettuccine."
Rice Bowls,Shrimp Creole,15.49,"A taste of New Orleans! Plump shrimp and our own Creole seasoning sautéed with garlic butter, fresh chopped celery, green peppers, onions, diced tomatoes and a little hot sauce for some kick! Served with seasoned rice."
Rice Bowls,Orange Tenders Rice Bowl,14.99,"Tully's Tenders® tossed with broccoli, shredded carrots and our homemade orange citrus sauce. Served over seasoned rice and sprinkled with scallions."
Rice Bowls,Healthy Choice Life Bowl,13.99,"Southwest seasoned chicken with black beans, corn, pico de gallo, guacamole on a bed of seasoned rice with fresh cilantro and lime. (Under 600 calories)"
Rice Bowls,Chicken Fresca,16.99,"Chicken tenders sautéed in our light tomato white wine sauce with mushrooms, tomato bruschetta, roasted red peppers, Romano cheese and scallions. Served over seasoned rice."
Rice Bowls,Blackened Shrimp Rice Bowl,13.99,"Blackened gulf shrimp, grilled with onions, corn, black beans and roasted red peppers. Served over rice with pico de gallo and fresh cilantro."
Shareable Desserts,Baked Apple Crumb Pie,8.69,"Two layers of apples, brown sugar and cinnamon homemade in our kitchen. Topped with vanilla ice cream, whipped cream, caramel sauce and sprinkled with more cinnamon."
Shareable Desserts,Chocolate Chip Cookie Monster,7.99,"Two warm chocolate chip cookies topped with vanilla ice cream, hot fudge and whipped cream."
Shareable Desserts,Reese's Pieces® Cookie Monster,7.99,"Two warm chocolate chip cookies topped with vanilla ice cream, whipped cream, chocolate sauce, peanut butter sauce and crushed Reese’s Pieces®."
Shareable Desserts,Homemade Cheesecake,8.69,Our famous cheesecake topped with your choice of cherry topping or hot fudge and chocolate cream cookie pieces and whipped cream.
Shareable Desserts,Chocolate Peanut Butter Pie,8.69,"Homemade with chocolate crumb crust, creamy peanut butter, topped with semi-sweet chocolate and whipped cream."
Lunch Combos,Tully's Street Tacos,12.49,"Two flour tortillas filled with our signature Tully's Tenders®, shredded jack-cheddar cheese, pico de gallo, shredded lettuce and cilantro lime crema. Sprinkled with our taco seasoning and fresh cilantro. Served with homemade cowboy caviar."
Lunch Combos,Cali Turkey Club,12.49,"Roasted turkey, Cajun mayo, bacon, lettuce, tomato and guacamole on toasted deli bread. Served with fries and a pickle spear."
Lunch Combos,The Dublin,12.49,"Warm corned beef on a toasted roll with Swiss cheese, 1000 Island dressing and topped with fresh coleslaw. Served with fries and a pickle spear."
Lunch Combos,Soup & Sandwich Combo,12.49,"Baked Potato soup, paired with a turkey, ham, or tuna fish sandwich on a small sub roll with lettuce, tomato, and mayo. Served with a pickle spear. Substitute French Onion or Homemade Chili for $.99."
Lunch Combos,Soup & Tenders,12.49,Baked Potato soup and three Tully's Tenders® with Tully's Honey Mustard for dipping. Substitute French Onion or Homemade Chili for $.99.
Lunch Combos,Chicken Tender Wrap,12.49,"Tully’s Tenders® diced and mixed with lettuce, tomato and Tully’s Honey Mustard. Served with fries and a pickle spear."
Lunch Favorites,BBQ Bacon Meatloaf Sandwich,11.99,"A slice of our homemade meatloaf topped with cheddar cheese, bacon, hickory BBQ sauce and Cajun mayo. Served with fries and a pickle spear."
Lunch Favorites,Chicken Caesar Wrap,11.99,Crisp romaine tossed in Caesar dressing with grilled chicken. Served with fries and a pickle spear.
Lunch Favorites,All-American Combo,11.49,"A bowl of Tully's Homemade Chili, tortilla chips for dunking and half of our Ultimate Grilled Cheese Sandwich."
Lunch Favorites,Lunch Fish Fry,12.29,"Lightly breaded haddock served with fries, tartar sauce and coleslaw."
Lunch Favorites,Tully's Tenders®,12.99,Our famous hand battered Tully's Tenders®. Served with fries and Tully's Honey Mustard for dipping. Sub Buffalo or Asian Tenders $.50.
Dinner Specials,Fiery 10oz Flat Iron Steak,21.99,"10oz USDA Choice Black Angus Flat Iron steak rubbed with our fiery habañero roasted garlic seasoning. Topped with homemade pico de Gallo, fried onion straws and fresh cilantro. Served with cowboy caviar and country mashed potatoes."
Dinner Specials,Petite Flat Iron Steak,16.99,6oz USDA choice Black Angus Flat Iron steak served with country mashed potatoes and fresh vegetables.
Dinner Specials,Steak and Shells Combo,19.99,6oz USDA Choice Black Angus Flat Iron steak served with our classic stuffed shells and garlic bread.
Dinner Specials,Steak and Tender Combo,19.99,6oz USDA choice Black Angus Flat Iron steak and Tully’s
Dinner Specials,Surf 'N Turf,20.59,6oz USDA Angus Flat Iron steak served with sautéed shrimp lightly seasoned with Cajun spices and fresh vegetables.
Dinner Specials,Steak Fajita Bowl,18.99,"Seasoned Black Angus Flat Iron steak served with grilled onions, mushrooms and peppers, pico de gallo, guacamole and cowboy caviar. Served over seasoned riced and sprinkled with fresh cilantro and cheddar-jack cheese."
Dinner Specials,Baked Stuffed Shells,15.99,"Pasta shells stuffed with ricotta, herbs, and mozzarella cheese. Topped with our own marinara sauce and mozzarella cheese then baked until golden brown. Served with a side salad and garlic bread."
Dinner Specials,Orange Citrus Salmon,19.99,8oz Norwegian salmon grilled with our homemade orange citrus sauce. Served with seasoned rice and fresh vegetables.
Dinner Specials,Italian Style Mahi Mahi,17.99,"Grilled mahi mahi filet with Italian seasonings. Topped with a warm combination of black olives, roasted red peppers, homemade bruschetta and a sprinkle of Pecorino Romano cheese. Served with seasoned rice and fresh vegetables."
Little League Menu,Kid's Burger & Fries,6.99,Add cheese for $.30
Little League Menu,Tully's Tenders & Fries,6.99,No description available.
Little League Menu,Pasta Marinara,6.99,No description available.
Little League Menu,Grilled Cheese Sandwich & Fries,6.99,No description available.
Little League Menu,Macaroni & Cheese,6.99,No description available.
Little League Menu,Mozzarella Sticks & Fries,6.99,No description available.
Little League Menu,Tully's Tenders Salad,7.99,with choice of dressing
Little League Menu,Cookie & Cream Dream,4.59,A creamy drink made with crumbled chocolate cookies and vanilla ice cream.
Little League Menu,Kiddie Cookie Sundae,3.99,"Vanilla ice cream, crushed chocolate cookies, chocolate syrup and whipped cream."
Little League Menu,Hot Fudge Sundae,3.99,No description available.
Little League Menu,Strawberry Fizz,2.79,"Starry Lemon Lime, strawberry puree."
Little League Menu,Candy Apple,2.79,Apple juice and grenadine.
Little League Menu,Wild Berry Smoothie,5.99,No description available.
Little League Menu,Strawberry Smoothie,5.99,No description available.
